,lat,lon,date,d15n,blue,green,red,nir,swir1,swir2,imaging_time
675,33.329427,-97.583638,2019,-5.5,0.13111297838209457,0.14657398212512412,0.14173096020166526,0.2871132839355282,0.24128026888702162,0.1802306928424108,Tue Jul 16 03:02:09 2019
676,33.369609,-97.594595,2019,-3.0,0.12550607287449392,0.13934764341914294,0.1325490795202811,0.27159116950576734,0.2260178748758689,0.17091131311588115,Tue Jul 16 03:02:09 2019
677,33.375278,-97.595151,2019,-6.2,0.1292338247651058,0.22325261630127569,0.2213276296692384,0.34448094110457567,0.31867695363226645,0.2515468642578871,Tue Jul 16 03:02:09 2019
678,33.409931,-97.595224,2019,-2.83333333333333,0.11716446413566572,0.12715606141624017,0.12086166068291193,0.20797494461844016,0.16136276831410892,0.1321060270414789,Tue Jul 16 03:02:09 2019
679,33.414259,-97.597098,2019,-2.35,0.12443663585669544,0.13685738293484073,0.12952410052707966,0.27469253685738293,0.20259720418608204,0.15144755939194868,Tue Jul 16 03:02:09 2019
680,33.3832,-97.602762,2019,-1.93333333333333,0.13742265678710563,0.15384615384615385,0.15531281032770605,0.2814299900695134,0.2779466809258269,0.2031777557100298,Tue Jul 16 03:02:09 2019
681,33.399631,-97.619581,2019,-2.5,0.12834771980750134,0.14044763578030708,0.13458100985409824,0.2739744862882897,0.22174012680467498,0.1656099610419372,Tue Jul 16 03:02:09 2019
682,33.378824,-97.646691,2019,-2.7,0.12516996409747155,0.13707127033840044,0.1288518829730349,0.27620502635398364,0.20218470705064548,0.15190588954243373,Tue Jul 16 03:02:09 2019
683,35.420259,-99.048669,2018,-6.5,0.13114353372546023,0.15239477503628446,0.15366282178595983,0.25336490718814453,0.26103429837292796,0.1927736612940188,Wed Jul 11 03:12:54 2018
684,35.420795,-99.050317,2018,-4.7,0.13215186005652738,0.1522267206477733,0.1624627606752731,0.258987090367428,0.2616301275685586,0.20441524711633946,Wed Jul 11 03:12:54 2018
685,47.173174,-99.05087,2019,1.6,0.13230463677335574,0.16568634940035137,0.17376823772057137,0.32872966159957223,0.2744633717821404,0.25350240623329007,Fri Jul 12 03:22:53 2019
686,47.171565,-99.051268,2019,-2.5,0.12190054235734474,0.17609044381636238,0.1613169352990604,0.26277595294477124,0.25577877931403253,0.22487204949965625,Fri Jul 12 03:22:53 2019
687,35.419716,-99.052304,2018,-1.9,0.13395462531510197,0.15406004124971354,0.15734474066152318,0.2538385150103124,0.2677564739133756,0.20061110686731343,Wed Jul 11 03:12:54 2018
688,35.408887,-99.056266,2018,-6.8,0.3882209151325338,0.3901459017645711,0.39231533114353373,0.4319914445038576,0.35207394393094493,0.2966923840806661,Wed Jul 11 03:12:54 2018
689,35.413507,-99.056933,2018,-3.7,0.09388129249102437,0.14730731036590022,0.15092811855473226,0.23545947597586128,0.217370712703384,0.17622794286150792,Wed Jul 11 03:12:54 2018
690,35.419991,-99.057264,2018,-7.0,0.13413795737529602,0.15241005270796731,0.15548086471621725,0.2433885875792529,0.26245512183943165,0.19859445420517913,Wed Jul 11 03:12:54 2018
691,47.119264,-99.057536,2019,-1.0,0.11902834008097166,0.13079214727675503,0.12432969215491559,0.21868459246810787,0.16267664807883278,0.1365365518295012,Fri Jul 12 03:22:53 2019
692,35.410788,-99.057569,2018,-2.7,0.23478725842181652,0.27171339087923,0.2608967993277824,0.3047895500725689,0.2602704147887862,0.21475823084561912,Wed Jul 11 03:12:54 2018
693,35.412699,-99.058259,2018,-4.9,0.08654801008326331,0.11860056527385227,0.11435337254602398,0.19008479107783974,0.17676266137040714,0.15108089527156063,Wed Jul 11 03:12:54 2018
